lr-AdamW,step,val/loss_reg,val/mse_reg,val/r2_reg,val/pearson_reg,epoch,train/loss_reg,train/mse_reg,train/r2_reg,train/pearson_reg
,10540,,,,,82,0.1088826134800911,0.1967061460018158,0.7678478956222534,0.8769931793212891
0.001,10541,,,,,,,,,
,10667,0.10725279152393341,0.19384686648845673,0.7719903588294983,0.8863145709037781,83,,,,
,10667,,,,,83,0.10871241241693497,0.19637908041477203,0.7682062387466431,0.8771440982818604
0.001,10668,,,,,,,,,
,10794,0.10405971854925156,0.18805432319641113,0.7788267135620117,0.885991632938385,84,,,,
,10794,,,,,84,0.10861687362194061,0.19627413153648376,0.7684643864631653,0.8773701786994934
0.001,10795,,,,,,,,,
,10921,0.10161682963371277,0.18353718519210815,0.784156858921051,0.8862774968147278,85,,,,
,10921,,,,,85,0.10874038189649582,0.19645260274410248,0.7681180834770203,0.8771049380302429
0.001,10922,,,,,,,,,
,11048,0.10767029225826263,0.19443002343177795,0.7712743878364563,0.8856310248374939,86,,,,
,11048,,,,,86,0.10865049809217453,0.19629956781864166,0.7684634923934937,0.877419650554657
0.001,11049,,,,,,,,,
,11175,0.10244280099868774,0.1850568652153015,0.7823474407196045,0.886216402053833,87,,,,
,11175,,,,,87,0.10892455279827118,0.19681303203105927,0.7678052186965942,0.8772634267807007
0.001,11176,,,,,,,,,
,11302,0.10960131138563156,0.19802679121494293,0.7670650482177734,0.885528564453125,88,,,,
,11302,,,,,88,0.10855497419834137,0.1960461586713791,0.7686193585395813,0.8773078322410583
0.001,11303,,,,,,,,,
,11429,0.10555612295866013,0.19073322415351868,0.775646448135376,0.8853068351745605,89,,,,
,11429,,,,,89,0.10877079516649246,0.1965159773826599,0.7680437564849854,0.8771584033966064
0.001,11430,,,,,,,,,
,11556,0.10428832471370697,0.18842652440071106,0.7783802151679993,0.8860106468200684,90,,,,
,11556,,,,,90,0.10859744250774384,0.19625014066696167,0.7684414982795715,0.8774044513702393
0.001,11557,,,,,,,,,
,11683,0.10321567207574844,0.1863737404346466,0.78078693151474,0.886212170124054,91,,,,
,11683,,,,,91,0.10850375890731812,0.19608505070209503,0.7686154842376709,0.8773841261863708
0.001,11684,,,,,,,,,
,11810,0.1028791218996048,0.18578489124774933,0.7814807295799255,0.886033296585083,92,,,,
,11810,,,,,92,0.10844455659389496,0.1959235817193985,0.768851101398468,0.8776999115943909
0.001,11811,,,,,,,,,
,11937,0.10307127237319946,0.18612568080425262,0.7810806632041931,0.8864480257034302,93,,,,
,11937,,,,,93,0.1083209216594696,0.19566458463668823,0.7690860033035278,0.8777788281440735
0.001,11938,,,,,,,,,
,12064,0.10209914296865463,0.18450886011123657,0.78302001953125,0.8855007290840149,94,,,,
,12064,,,,,94,0.10860217362642288,0.19618427753448486,0.7685436606407166,0.8776668906211853
0.001,12065,,,,,,,,,
,12191,0.10224158316850662,0.1846752166748047,0.7828032970428467,0.8856555819511414,95,,,,
,12191,,,,,95,0.10821232199668884,0.19552810490131378,0.7692751884460449,0.8778362274169922
0.001,12192,,,,,,,,,
,12318,0.10365889966487885,0.18710099160671234,0.7799251675605774,0.8863504528999329,96,,,,
,12318,,,,,96,0.1083412915468216,0.1957370489835739,0.769001305103302,0.8776780962944031
0.001,12319,,,,,,,,,
,12445,0.1033320352435112,0.1865939497947693,0.7805212736129761,0.886472761631012,97,,,,
,12445,,,,,97,0.10835570096969604,0.19578596949577332,0.7689197659492493,0.8775483965873718
0.001,12446,,,,,,,,,
,12572,0.10176638513803482,0.18378838896751404,0.7838449478149414,0.8864293694496155,98,,,,
,12572,,,,,98,0.10842430591583252,0.19590719044208527,0.768773078918457,0.8775025606155396
0.001,12573,,,,,,,,,
,12699,0.10200680047273636,0.1842672973871231,0.7832779288291931,0.8864198327064514,99,,,,
,12699,,,,,99,0.10830997675657272,0.19568441808223724,0.7690914273262024,0.8776466250419617
0.001,12700,,,,,,,,,
,12826,0.10524728894233704,0.19001813232898712,0.7764836549758911,0.886299729347229,100,,,,
,12826,,,,,100,0.10836276412010193,0.1958342045545578,0.7688869833946228,0.877509355545044
0.001,12827,,,,,,,,,
,12953,0.10897839069366455,0.19661860167980194,0.7687075734138489,0.8859983086585999,101,,,,
,12953,,,,,101,0.10820480436086655,0.1954946666955948,0.7693061232566833,0.877731204032898
0.001,12954,,,,,,,,,
,13080,0.10147275030612946,0.18327656388282776,0.7844581007957458,0.8860733509063721,102,,,,
,13080,,,,,102,0.1081099733710289,0.19531957805156708,0.7695605754852295,0.8780627250671387
0.001,13081,,,,,,,,,
,13207,0.10237231105566025,0.18482205271720886,0.7826085686683655,0.885834276676178,103,,,,
,13207,,,,,103,0.10797873139381409,0.19503356516361237,0.7697902917861938,0.8780527710914612
0.001,13208,,,,,,,,,
,13334,0.10146455466747284,0.18320491909980774,0.78453528881073,0.8861919641494751,104,,,,
,13334,,,,,104,0.107711561024189,0.19457578659057617,0.7704439759254456,0.8783812522888184
0.001,13335,,,,,,,,,
,13461,0.10501743853092194,0.18974284827709198,0.7768340706825256,0.8862518072128296,105,,,,
,13461,,,,,105,0.10792998969554901,0.19498233497142792,0.7698990702629089,0.8780694007873535
0.001,13462,,,,,,,,,
,13588,0.10381224006414413,0.1874159276485443,0.7795537114143372,0.8860055804252625,106,,,,
,13588,,,,,106,0.10780835896730423,0.19477419555187225,0.770125687122345,0.8781113624572754
0.001,13589,,,,,,,,,
,13715,0.10739633440971375,0.19389764964580536,0.7718961238861084,0.8852672576904297,107,,,,
,13715,,,,,107,0.10796745121479034,0.19504314661026,0.7698679566383362,0.8779114484786987
0.001,13716,,,,,,,,,
,13842,0.10250367224216461,0.1850142925977707,0.7823861241340637,0.8861037492752075,108,,,,
,13842,,,,,108,0.10795461386442184,0.19505679607391357,0.7696974277496338,0.8779191970825195
0.001,13843,,,,,,,,,
,13969,0.10336355119943619,0.18653786182403564,0.7805930972099304,0.8861778378486633,109,,,,
,13969,,,,,109,0.10779955983161926,0.1947992593050003,0.7700572609901428,0.8781731128692627
0.001,13970,,,,,,,,,
,14096,0.10729484260082245,0.19379830360412598,0.7720290422439575,0.8857003450393677,110,,,,
,14096,,,,,110,0.10782545059919357,0.1948317587375641,0.7701156735420227,0.8781298398971558
0.001,14097,,,,,,,,,
,14223,0.10451410710811615,0.188690647482872,0.7780532240867615,0.8862420320510864,111,,,,
,14223,,,,,111,0.10822758078575134,0.1955719292163849,0.7692074179649353,0.8775961995124817
0.001,14224,,,,,,,,,
,14350,0.10214052349328995,0.1844475269317627,0.7830568552017212,0.8864882588386536,112,,,,
,14350,,,,,112,0.10768463462591171,0.19456151127815247,0.7703589797019958,0.878206729888916
0.001,14351,,,,,,,,,
,14477,0.10321692377328873,0.18641863763332367,0.7807438969612122,0.8857260346412659,113,,,,
,14477,,,,,113,0.10774692893028259,0.1947128027677536,0.7703251242637634,0.8782508373260498
0.001,14478,,,,,,,,,
,14604,0.10524016618728638,0.18999408185482025,0.7765242457389832,0.8859134912490845,114,,,,
,14604,,,,,114,0.10776501893997192,0.19467349350452423,0.7702414989471436,0.8782835602760315
0.001,14605,,,,,,,,,
,14731,0.1067211925983429,0.19271056354045868,0.7733099460601807,0.8862192034721375,115,,,,
,14731,,,,,115,0.10773267596960068,0.1946733593940735,0.7702317237854004,0.8781055212020874
0.001,14732,,,,,,,,,
,14858,0.10212606936693192,0.18437425792217255,0.7831423878669739,0.8865369558334351,116,,,,
,14858,,,,,116,0.10754291713237762,0.19430701434612274,0.7706364393234253,0.8784180879592896
0.001,14859,,,,,,,,,
,14985,0.10146020352840424,0.18324342370033264,0.784493088722229,0.8863993287086487,117,,,,
,14985,,,,,117,0.10752349346876144,0.19422754645347595,0.7707390785217285,0.8783979415893555
0.001,14986,,,,,,,,,
,15112,0.10579732805490494,0.19096702337265015,0.7753718495368958,0.8859952092170715,118,,,,
,15112,,,,,118,0.10740629583597183,0.19406931102275848,0.7710232138633728,0.8785287141799927
0.001,15113,,,,,,,,,
,15239,0.10446625202894211,0.18857593834400177,0.7781736254692078,0.8857347965240479,119,,,,
,15239,,,,,119,0.10742145031690598,0.19404447078704834,0.770984411239624,0.8786624073982239
0.001,15240,,,,,,,,,
,15366,0.10405156761407852,0.18781216442584991,0.7790833711624146,0.8862409591674805,120,,,,
,15366,,,,,120,0.10761230438947678,0.1943673938512802,0.7705404758453369,0.8785744309425354
0.001,15367,,,,,,,,,
,15493,0.10598369687795639,0.19133417308330536,0.7749292850494385,0.8858548998832703,121,,,,
,15493,,,,,121,0.10743682086467743,0.19404105842113495,0.7710835933685303,0.878710925579071
0.001,15494,,,,,,,,,
,15620,0.10405401885509491,0.1878952980041504,0.7789868116378784,0.8858999609947205,122,,,,
,15620,,,,,122,0.10709968954324722,0.19352145493030548,0.7716270089149475,0.878805935382843
0.001,15621,,,,,,,,,
,15747,0.10162860155105591,0.18345777690410614,0.7842341661453247,0.8865213990211487,123,,,,
,15747,,,,,123,0.10723184794187546,0.19372904300689697,0.771401584148407,0.8787466883659363
0.001,15748,,,,,,,,,
,15874,0.10529152303934097,0.1901005655527115,0.7763863205909729,0.8858489990234375,124,,,,
,15874,,,,,124,0.1072796955704689,0.1938140094280243,0.7713634371757507,0.8789122104644775
0.001,15875,,,,,,,,,
,16001,0.10820276290178299,0.19533082842826843,0.7702192068099976,0.8855555057525635,125,,,,
,16001,,,,,125,0.10780731588602066,0.19473494589328766,0.770139217376709,0.8784242272377014
0.001,16002,,,,,,,,,
,16128,0.102339006960392,0.18482059240341187,0.7826159000396729,0.8869276642799377,126,,,,
